SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EU_Price,EU_open,EU_high,EU_low,Adj_Close
140.050003,140.610001,139.639999,140.440002,122.5028,121729700,13238.4502,13238.4502,13123.37988,13170.19043,13170.19043,131660000,1.3225,1.3239,1.3253,1.3172,160.130005
140.520004,140.649994,139.919998,140.210007,122.302139,122388400,13170.79004,13190.01953,13112.92969,13124.62012,13124.62012,124860000,1.3212,1.3224,1.3285,1.3178,160.210007
139.179993,139.550003,138.740005,139.199997,121.421143,135216700,13124.40039,13124.46973,13017.41992,13046.13965,13046.13965,122060000,1.3198,1.321,1.3256,1.3135,159.570007
139.320007,139.809998,138.550003,139.649994,121.813698,120521000,13045.99023,13099.91016,13002.76953,13080.73047,13080.73047,129930000,1.3273,1.3198,1.3295,1.319,161.529999
140.649994,141.610001,140.600006,141.610001,123.523338,120164000,13082.62012,13243.86035,13082.38965,13241.62988,13241.62988,122080000,1.3358,1.3272,1.3368,1.3191,164.399994
141.740005,141.830002,141.080002,141.169998,123.139542,119868500,13242.08984,13264.98047,13194.33008,13197.73047,13197.73047,129280000,1.3318,1.3354,1.3386,1.3311,163.240005
141.100006,141.320007,139.639999,140.470001,122.528969,148562100,13195.38965,13212.63965,13069.25977,13126.20996,13126.20996,141540000,1.3317,1.3318,1.3376,1.3277,161.509995
139.639999,140.490005,139.089996,140.229996,122.319626,164963700,13125.99023,13151.57031,13032.66992,13145.82031,13145.82031,136250000,1.3302,1.3316,1.3346,1.3251,161.279999
140.919998,141.050003,140.050003,140.809998,122.825531,135486800,13147.94043,13224.49023,13147.78027,13212.04004,13212.04004,171190000,1.3344,1.3299,1.3377,1.3296,162.119995
140.639999,142.210007,140.360001,141.839996,123.723953,151741100,13211.36035,13297.11035,13153.69043,13264.49023,13264.49023,108790000,1.3323,1.3359,1.3382,1.3277,162.940002
